t,pos
0.024066878,-0.003449909
0.057433545,-0.000596118
0.090800212,-0.003027181
0.124166879,-0.001263077
0.157533546,0.000907132
0.190900212,-0.002164078
0.224266879,-0.001515661
0.257633546,-0.003688013
0.291000213,-0.005926107
0.32436688,-0.004594933
0.357733547,-0.004364651
0.391100213,-0.004053654
0.42446688,-0.002083556
0.457833547,-0.003504477
0.491200214,-0.004371547
0.524566881,-0.005862848
0.557933547,-0.0051374
0.591300214,-0.005285521
0.624666881,-0.005816666
0.658033548,-0.005106578
0.691400215,-0.005484831
0.724766882,-0.008169344
0.758133548,-0.009227785
0.791500215,-0.009366377
0.824866882,-0.009646785
0.858233549,-0.009720587
0.891600216,-0.008158008
0.924966882,-0.00788968
0.958333549,-0.007145485
0.991700216,-0.005523809
1.025066883,-0.007476317
1.05843355,-0.005602508
1.091800217,-0.004620739
1.125166883,-0.002393489
1.15853355,-0.000130815
1.191900217,0.002773492
1.225266884,0.003469129
1.258633551,0.002799873
1.292000218,0.002143157
1.325366884,0.002952515
1.358733551,0.004014953
1.392100218,0.004679316
1.425466885,0.004756393
1.458833552,0.004716692
1.492200218,0.004527198
1.525566885,0.004164523
1.558933552,0.003487812
1.592300219,0.004413808
1.625666886,0.003060561
1.659033553,0.003223567
1.692400219,0.00481052
1.725766886,0.003842701
1.759133553,0.002501227
1.79250022,0.0021345
1.825866887,0.002724128
1.859233553,0.002632526
1.89260022,0.003553405
1.925966887,0.004329166
1.959333554,0.006170622
1.992700221,0.007015155
2.026066888,0.007709061
2.059433554,0.004715127
2.092800221,0.003161728
2.126166888,0.00498824
2.159533555,0.003592187
2.192900222,0.003167051
2.226266889,0.004473963
2.259633555,0.004054258
2.293000222,0.003421903
2.326366889,0.002239078
2.359733556,0.003543792
2.393100223,0.003171088
2.426466889,0.004845896
2.459833556,0.004026738
2.493200223,0.005609511
2.52656689,0.006056055
2.559933557,0.002679853
2.593300224,0.002457738
2.62666689,0.001437333
2.660033557,0.001053386
2.693400224,0.002392458
2.726766891,0.002216763
2.760133558,0.001577484
2.793500224,0.001340346
2.826866891,0.000287882
2.860233558,0.001500629
2.893600225,0.002759804
2.926966892,0.003069246
2.960333559,0.00403969
2.993700225,0.005011914
3.027066892,0.005169199
3.060433559,0.004844743
3.093800226,0.005136333
3.127166893,0.003782094
3.16053356,0.004790871
3.193900226,0.004903062
3.227266893,0.004975638
3.26063356,0.004162923
3.294000227,0.004307915
3.327366894,0.003052068
3.36073356,0.003655959
3.394100227,0.003767585
3.427466894,0.003153753
3.460833561,0.003093923
3.494200228,0.004260954
3.527566895,0.004699427
