time_seconds,angle_degrees
0,0
0.0333666666666667,0.00203838446079364
0.0667333333333333,0.00317220298256029
0.1001,0.000687170198892004
0.133466666666667,-0.000509069421590328
0.166833333333333,-0.00294878190467397
0.2002,-0.000524387839577076
0.233566666666667,-0.00217820731301399
0.266933333333333,0.000167855705236276
0.3003,0.000830680476692068
0.333666666666667,-0.00124978505560609
0.367033333333333,-0.00474412441431906
0.4004,-0.0041650216940227
0.433766666666667,-0.00613558457421562
0.467133333333333,-0.00276269715768562
0.5005,-0.00633622715762893
0.533866666666667,-0.0114672445427569
0.567233333333333,-0.0137459760298644
0.6006,-0.00967808593424107
0.633966666666667,-0.00977451802314221
0.667333333333333,-0.00862871303796325
0.7007,-0.00730679929254377
0.734066666666667,-0.00253242273239671
0.767433333333333,-0.00219853758588751
0.8008,0.001382287717504
0.834166666666667,-0.00452488885945031
0.867533333333333,-0.00670158238691079
0.9009,-0.00186873408467719
0.934266666666667,-0.00174904324918294
0.967633333333333,-0.000919356986105381
1.001,-0.00613570276293372
1.03436666666667,-0.00589562593894213
1.06773333333333,-0.0082780972535941
1.1011,-0.0053793148502777
1.13446666666667,-0.00961288632798886
1.16783333333333,-0.010169873705336
1.2012,-0.0106569911477683
1.23456666666667,-0.00445001236140258
1.26793333333333,-0.0148044352702963
1.3013,-0.0227027875902809
1.33466666666667,-0.0347325014043377
1.36803333333333,-0.0339023007877227
1.4014,-0.0198784401291195
1.43476666666667,-0.0225369058458563
1.46813333333333,-0.0216030692579894
1.5015,-0.0227116643356653
1.53486666666667,-0.0290220737427698
1.56823333333333,-0.0247716383717696
1.6016,-0.0163357531558225
1.63496666666667,0.002175818789964
1.66833333333333,-0.00454359373574806
1.7017,0.00825784517840228
1.73506666666667,0.0064127623217132
1.76843333333333,0.0123985495658409
1.8018,0.00804440252151017
1.83516666666667,0.00393610182960095
1.86853333333333,0.00900998030211503
1.9019,0.00558383002819046
1.93526666666667,0.00615536207529039
1.96863333333333,0.00619550133309963
2.002,-0.0066663519557779
2.03536666666667,-0.0118309060122838
2.06873333333333,-0.0121366514538092
2.1021,-0.0176298700237197
2.13546666666667,-0.013627852903131
2.16883333333333,-0.00903327662193815
2.2022,-0.00949325579464456
2.23556666666667,-0.00227063228277065
2.26893333333333,-0.00620628848422976
2.3023,-0.00431367382381476
2.33566666666667,-0.00713441912315983
2.36903333333333,-0.0106950898088254
2.4024,-0.0108242732633506
2.43576666666667,-0.00894524369594173
2.46913333333333,-0.00685282805748643
2.5025,-0.00446218130082115
2.53586666666667,-0.00433067144927792
2.56923333333333,-0.0146164767878624
2.6026,-0.00780414423451396
2.63596666666667,-0.00483063879728992
2.66933333333333,-0.0100851230637615
2.7027,-0.0053465138693912
2.73606666666667,-0.00471571808893703
2.76943333333333,0.00635549150461153
2.8028,0.00357821933937257
2.83616666666667,-0.00519624090430156
2.86953333333333,-0.00258073715352434
2.9029,-0.00577341532312057
2.93626666666667,-0.0047421166110401
2.96963333333333,-0.00707755031711876
3.003,-0.00366434767336111
3.03636666666667,-0.00790453716620396
3.06973333333333,-0.0121039905805037
3.1031,-0.01631838053058
3.13646666666667,-0.0210078090986425
3.16983333333333,-0.0194860207971433
3.2032,-0.0203860333262656
3.23656666666667,-0.013437787492066
3.26993333333333,-0.00895045892487762
3.3033,-0.0050240238858712
3.33666666666667,-0.00483456031285798
3.37003333333333,0.00021897917613177
3.4034,0.00192855955994044
3.43676666666667,-0.00240032141564413
3.47013333333333,0.00534215786580998
3.5035,0.0100056600601687
3.53686666666667,0.0125593957561928
3.57023333333333,0.0114632175509129
3.6036,-0.00273836161458517
3.63696666666667,0.00384155522394442
3.67033333333333,-0.00708602262982826
3.7037,-0.011025364815747
3.73706666666667,-0.00909990294237778
3.77043333333333,-0.00475616515186464
3.8038,-0.0118020714823288
3.83716666666667,-0.0111294086747618
3.87053333333333,-0.0102133325156313
3.9039,-0.00304251259601646
3.93726666666667,-0.00457263459049342
3.97063333333333,-0.00293859958381792
4.004,-0.00977902725940502
4.03736666666667,-0.00707659905412954
